x_m	y_m
0.0	0.0
-0.3388605540203788	0.09900587647040235
-0.6777198370735213	0.19802538053396565
-1.0165779903780126	0.29705837097209997
-1.3554352257617157	0.39610470656623004
-1.6942917550525127	0.49516438731635576
-2.0331477194689795	0.5942373426131798
-2.3720032602297008	0.6933233606288343
-2.7108585891625494	0.7924224413633144
-3.049713918095398	0.8915343729887572
-3.3885693882468217	0.9906592261144403
-3.727425140835416	1.0897967183032136
-4.066281458298341	1.1889469201643543
-4.405138411244883	1.2881096198700002
-4.743996282112204	1.3872847468108582
-5.082855141509601	1.4864722303776312
-5.421715271874235	1.5856719293517438
-5.760576814424689	1.684883843733196
-6.099439910379541	1.7841077616941103
-6.4383047715666715	1.8833436832344914
-6.777171539204656	1.9825913965264619
-7.116040495730656	2.0818509015700264
-7.454911711753978	2.1811220571465952
-7.793785399102474	2.28040479264689
-8.132661698994742	2.3796990374616045
-8.471540893867939	2.4790046503721723
-8.810423054331354	2.578321490159999
-9.149308462822157	2.677649486215802
-9.488197189949627	2.7769886385395757
-9.827089518150942	2.876338735303453
-10.165985588644679	2.9756997765074287
-10.504885472040124	3.07507155032363
-10.843789521383746	3.174454056752057
-11.182697807284823	3.2738470839648417
-11.521610541571226	3.3732507025712724
-11.860527936070838	3.472664700743471
-12.199450132002227	3.572089007872154
-12.538377270583993	3.671523482738738
-12.877309563643994	3.7709681253432215
-13.21624722301011	3.870422723857728
-13.555190389900925	3.9698872782822616
-13.894139276144305	4.06936171800753
-14.233094022958838	4.168845760596373
-14.572054700953805	4.268339476658078
-14.911017285399634	4.3678422307090266
-15.24997351500928	4.4673528223912715
-15.588914987277114	4.566870051346868
-15.927833017260335	4.666392858436452
-16.26671927306263	4.765920043302075
-16.605565210959774	4.865450334976502
-16.944362357836866	4.964982674320362
-17.283102099360402	5.064515860975719
-17.62177603302476	5.164048765193911
-17.960375685715004	5.2635801160077005
-18.298892513706953	5.363108854277725
-18.637317973276392	5.462633709036744
-18.975643661917676	5.562153621145399
-19.31386103590663	5.661667319636446
-19.65196155151903	5.761173745370528
-19.98993680624925	5.8606716273804
-20.327778256373087	5.96015983591741
-20.665477358166328	6.059637170623609
-21.00302570912336	6.159102572359633
-21.340414694910667	6.258554699548954
-21.67763598363193	6.357992563661502
-22.014680890344355	6.457414893730043
-22.35154362508608	6.556820277568742
-22.688476263025866	6.656185202283719
-23.02620452645628	6.755445342810902
-23.365504905750097	6.854532137528755
-23.707153961889396	6.953376883597172
-24.051928185246943	7.051911019394618
-24.400591497741726	7.150031172919118
-24.75265980207487	7.244195087870674
-25.10535928285998	7.32455100292694
-25.45567096925241	7.380571214023154
-25.80057574918896	7.401728228922404
-26.13705458121569	7.377494414169215
-26.46231006644303	7.298431708277028
-26.776055389931066	7.167439328732997
-27.079592163349496	6.995222773796557
-27.374246852838464	6.792610543112006
-27.66134627758454	6.570431418760811
-27.942217044946442	6.339514041605841
-28.218321826386575	6.110258948378844
-28.492625929688433	5.888340089874153
-28.76902719954134	5.676496753534876
-29.051437743711382	5.4774243078251414
-29.343769458136787	5.293818121209083
-29.649933744490728	5.128373420932235
-29.972230488598626	4.983916273256319
-30.307912706604654	4.8636819252842
-30.65324735590462	4.770985200789676
-31.004501817550068	4.709141347202282
-31.357943119546086	4.681465258905101
-31.709838642944227	4.691271406625474
-32.056670067994126	4.74063718631297
-32.39558640335437	4.827791716950112
-32.723865872686005	4.950218200969626
-33.03878684086867	5.105399911413537
-33.337627602172674	5.290819838886698
-33.617696812863514	5.503960409119641
-33.87704530346398	5.742282794446315
-34.114489874085336	6.003226207711176
-34.32888255887502	6.284229085056481
-34.51907532137118	6.582729580187316
-34.68392019572124	6.896166129245946
-34.82226914546337	7.221976885937461
-34.93297434596359	7.557600357013406
-35.014887619541454	7.900474696178871
-35.066861070953706	8.248038268966823
-35.08774673434776	8.59772944091023
-35.07639664387108	8.946986365714187
-35.0319512726247	9.29330078953562
-34.955145522109014	9.634458616837652
-34.84726201009448	9.968347147025213
-34.70958370739797	10.292853608893966
-34.543393726054944	10.605865231239548
-34.34997503688233	10.9052693840762
-34.13071504183833	11.188675378030302
-33.88756891218988	11.452181343682987
-33.6226838764753	11.69137384730226
-33.33820737506082	11.90183896089113
-33.03628677770335	12.079162897671168
-32.71907227853146	12.218976637154439
-32.388919050445416	12.32027223171236
-32.04852662785748	12.387679179507261
-31.700627096063098	12.426365586372993
-31.347952822794866	12.441499628752652
-30.993235963957513	12.438249341870808
-30.639033705632727	12.42160355457151
-30.286130446433884	12.39473474229797
-29.93428046602841	12.359759912811988
-29.583225334411374	12.318783222984429
-29.232706762796397	12.273908688467538
-28.88246625056926	12.227240042476446
-28.53230284368786	12.180407935976758
-28.182182861520403	12.133661902202768
-27.832103056039504	12.087000528968645
-27.482060179217783	12.040422404088567
-27.132050983027856	11.993926185986021
-26.78207221944233	11.947510462475174
-26.432120569824544	11.901173821370207
-26.08219285675639	11.854914921094604
-25.732285832210493	11.808732420071824
-25.382396177550177	11.762624906116061
-25.032520644748054	11.716590967041478
-24.682656056386026	11.67062919066227
-24.33279909382743	11.624738306011183
-23.982946509044865	11.57891683029313
-23.633095124620247	11.533163421931562
-23.283241551307615	11.487476739349958
-22.933382682298156	11.44185529975322
-22.583515128345912	11.396297761564792
-22.233635782642075	11.350802783208172
-21.883741255940677	11.305368952497538
-21.533828370823628	11.25999485724705
-21.183893879263547	11.2146791558802
-20.833934462623752	11.169420436211158
-20.48394694348615	11.124217356663394
-20.133928003214066	11.079068505051104
-19.783874393780124	11.033972539797743
