x_m	y_m
-39.9151865263762	-1.202635059730125
-40.14317391114858	-0.8770773834922285
-40.37107624983858	-0.5514336269352162
-40.59930604379055	-0.22601740246014637
-40.82792646100209	0.09912276036306099
-41.05691331624487	0.4240044435589187
-41.286242424290634	0.7486451495952746
-41.515889599911084	1.0730624604966286
-41.74583065787791	1.3972739582875062
-41.976041492519535	1.721297224992421
-42.20649783905095	2.0451497630792006
-42.4371755122439	2.368849234129043
-42.668050406426744	2.692413140609789
-42.89909825681454	3.015859064545952
-43.13029495773565	3.339204587962038
-43.36161624440513	3.6624672133258946
-43.59303801115135	3.9856646022187006
-43.82453599318935	4.308814336664981
-44.056086005290844	4.6319338395758995
-44.28766402134088	4.955040772532635
-44.519245696997835	5.278152717559711
-44.75080692659007	5.601287256681635
-44.982323524889345	5.924461892366256
-45.21377122711063	6.247694206638079
-45.44512600713902	6.571001781521618
-45.676363520632876	6.894402199041385
-45.90745966192057	7.217912961665234
-46.13839024577383	7.541551730974336
-46.36913108696434	7.865336009436534
-46.59965807982051	8.189283458633026
-46.82988578047659	8.513449370450843
-47.0592528370549	8.838184271586845
-47.28697450254276	9.163976878677182
-47.512264836577444	9.491316863038044
-47.73433766012617	9.820693816428953
-47.95240703282619	10.15259733060945
-48.16568685520139	10.487516997339048
-48.373634152965366	10.82578894355699
-48.576737324527514	11.167098363512139
-48.77575828413569	11.510957574805092
-48.971458946037664	11.856879054149793
-49.164601383594594	12.204375119146851
-49.355947431497626	12.552958166953532
-49.546258447097856	12.90214107206714
-49.73607430197151	13.251576012717667
-49.92540732740276	13.601247634467406
-50.11419268470392	13.951189112448603
-50.302365535187306	14.301433542236794
-50.48986104016521	14.652014178520885
-50.676614440506654	15.002964196433105
-50.86256089752392	15.354316691548998
-51.047635572529366	15.706104918557475
-51.23177362683526	16.058361893477418
-51.41491030131063	16.411120950554384
-51.596980677711066	16.764415264920615
-51.77792007646227	17.118277852594993
-51.957663579319885	17.47274196826641
-52.13616496385746	17.82783124026644
-52.31345963279404	18.183527529673892
-52.489605582943504	18.5398011618501
-52.66466065200644	18.89662230304305
-52.83868275724002	19.25396143772743
-53.011729815901504	19.611788811707918
-53.18385974524809	19.970074670789177
-53.355130382980335	20.328789419889223
-53.52559972591214	20.687903304812732
-53.69532561174403	21.047386650921034
-53.86436595773325	21.407209783575478
-54.03277868113701	21.767343028137397
-54.200621619655855	22.127756630411476
-54.36795284966036	22.488420915759036
-54.53483004973773	22.84930620954143
-54.70131129625851	23.210382837120008
-54.86745442692327	23.5716211238561
-55.03331743854589	23.932991315554386
-55.19895808927025	24.29446373757619
-55.364434296353586	24.65600871528287
-55.52980405660976	25.017596574035757
-55.69512528729603	25.379197639196196
-55.86045582611291	25.74078215656886
-56.02585351076098	26.102320451515087
-56.19137641761077	26.46378284939622
