x_m	y_m
0.0	0.0
0.07216550349902111	-0.31881779600660176
0.14420122339812508	-0.6376376198819524
0.21558665158011223	-0.9565719202189215
0.2855491046366109	-1.2757883559724423
0.3533134787997697	-1.5954550440032909
0.41810453947151405	-1.9157400357571275
0.4791471828839926	-2.236811513509848
0.5356663052693703	-2.5588374632919924
0.5870094562115133	-2.8819415196821074
0.6331212945181343	-3.2060307932084795
0.6741272863911651	-3.5309465867877448
0.7101531596930334	-3.856530268751657
0.7413245768710301	-4.182623272847092
0.7677671349573273	-4.5090668365755695
0.7896066272294716	-4.835702524514204
0.8069797058750848	-5.162406898329807
0.8200530486222593	-5.48915065204821
0.8289981739180794	-5.815919983078896
0.8339864693793577	-6.142701023416224
0.8351894534531785	-6.469479905054564
0.8327785137563543	-6.796242759988277
0.8269252995661927	-7.122975851041969
0.8178011330844025	-7.4496652447948835
0.8055775327580521	-7.776297138656503
0.7904259516190735	-8.102857599206075
0.7725179735296546	-8.429332954683318
0.7520249206915206	-8.755709206252364
0.7291183769668432	-9.081972551322687
0.7039711036899822	-9.408109710624753
0.6767824207344051	-9.734117544232745
0.6477750011717546	-10.060002201168036
0.6171726301306767	-10.38577009211247
0.585198961909659	-10.71142762774791
0.5520775853920046	-11.036981153341074
0.5180321548761522	-11.362437210404059
0.4832863900756769	-11.687802078788476
0.4480640107041374	-12.013082234591295
0.41258854022973307	-12.338284088494365
0.37708369836603883	-12.663414051179538
0.34177313941147747	-12.988478533328667
0.30688058307965627	-13.313484011038721
0.2726296182538458	-13.638436764161305
0.23889746075210513	-13.963346081643598
0.20392843414390943	-14.288233746720865
0.16548651876579487	-14.613125532950749
0.1214613574015565	-14.93805244710057
0.07663584203281891	-15.263331817921937
0.04610915628666224	-15.589709770284125
0.04582054477313685	-15.917959053010627
0.08890726081257132	-16.24485352316764
0.18125254413561473	-16.556814048293
0.3275812635115968	-16.838608128743136
0.5319988065146873	-17.075746184402846
0.7875255759874855	-17.267033473503542
1.0776128546382986	-17.422751944752278
1.3854977560695219	-17.553540190095383
1.6993633657615836	-17.669034053090538
2.014511765974997	-17.777425992652184
2.3267976004967235	-17.886796477007753
2.6320755131137075	-18.005225908969553
2.926199951367551	-18.14079475676501
3.2050256898754554	-18.301583554036668
3.4643303134119288	-18.495275830058187
3.6985655076654633	-18.722720738514294
3.9010654063986077	-18.979006650465433
4.065129015454033	-19.259041587483644
4.1840555369197405	-19.557733701971227
4.251144107468623	-19.86999108091534
4.259693798358457	-20.190721942133404
4.204116653714415	-20.51409099517839
4.0877131934627915	-20.828326854454893
3.918043443128937	-21.118813427003836
3.702696145476297	-21.370937890622187
3.449776953553816	-21.575575817167664
3.168595093220417	-21.736378482444955
2.8686305238006065	-21.858811123562024
2.558149230804723	-21.947917508002696
2.2403680028043125	-22.006988932161214
1.9171910739694782	-22.038861076114557
1.5905226130552703	-22.046369619939735
1.262266985062032	-22.032350243713736
0.9343284241599324	-21.999638758343792
0.6086081554235343	-21.95107025517082
0.28630471469841784	-21.889355144315225
-0.03299015378508646	-21.81691849513997
-0.34990822926489595	-21.73614560461446
-0.6650813563940154	-21.64942190053838
-0.9791411835801065	-21.559132679881134
-1.29271962089131	-21.467663370442395
-1.6064405323358906	-21.37736623455552
-1.9206105185856313	-21.289257103633354
-2.235116934802283	-21.202586124144737
-2.549818418909537	-21.116482555415022
-2.8645735434159487	-21.030075460524216
-3.179241011660313	-20.942494098797678
-3.493679396151201	-20.85286753331541
-3.807739223337292	-20.760340395956185
-4.121148431730667	-20.66429189722243
-4.433539257521469	-20.564284213709787
-4.74454164737063	-20.45988416648749
-5.053785220863468	-20.35065870745501
-5.360899924660919	-20.236174723096706
-5.665515443763421	-20.115999230727166
-5.967261528586515	-19.989699051415624
-6.26576812579115	-19.85684107164644
-6.560664920377767	-19.71699237414932
-6.851581728177027	-19.56971971457838
-7.138148299604518	-19.414590044833094
-7.419994515906041	-19.251170382228057
-7.696750127497138	-19.079027482417377
-7.968253624444272	-18.89805929781242
-8.235178651662704	-18.70948699789061
-8.498407462888377	-18.51486288347151
-8.75882244268744	-18.315738993714195
-9.017305844795823	-18.113667629438226
-9.274740053779691	-17.91020096063292
-9.532007388790074	-17.706891091872468
-9.789886878502076	-17.50510618041103
-10.048400567811441	-17.30486519663367
-10.30723348291093	-17.10558640387001
-10.566069210860617	-16.906685318014564
-10.824591207890336	-16.707577585792123
-11.082482995645078	-16.507678853927445
-11.339428161184902	-16.30640457289995
-11.595187350582348	-16.10330730328251
-11.849825455637369	-15.89847973830147
-12.103482530123879	-15.69214782178451
